target_id,source,brand,model,colorway,size_kr,size_us,condition_grade,box_included,ebay_price_krw,currency,price_type,item_url,item_title,item_condition,shipping_price,collected_at,description,filter_reason
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,DS,true,408000,KRW,listing_price,https://www.ebay.com/itm/236798520480?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item37224aaca0:g:ne8AAeSwmT1p-Vty&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGY5kzfDW3TyNm1UTYDE6ikFbX1OUGV1tsw5grhSw1UDKNp%2BZZD567IBN1sI%2BNt4G6D%2FhBxrt7xRAuMbIuitJItQg0O2sM4Pa6R5%2BunA8P5j8gCa49pDHn3fXS9jY6UX18ERB%2FAoGhjwA1H1tPYN9Nt8TtlAeNUEYWqSX9ju38H%2BSwRtr6K%2B%2BNsxH3GoJZLRD8syH2lifUE0Bi%2BzX46YdqqK%2Bv9ijkUDsjjbOy%2B76doOE6agSz9ZXgqmK8UOmvWhBs72dUsrg%2Bjq63F%2F13htRj2zPyLE26N9dxMb7cdIiFItXsTmgXY--Gz9hxPYnwonhLg%3D,DS New Nike Air Jordan Retro 1 High OG Lost And Found Chicago 2022 Size 9.5 Red,New with box,0.0,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition DS. Box included true. eBay reference listing price 408000 KRW. Original eBay price 300.0 USD. Collected on 2026-05-19. Item title: DS New Nike Air Jordan Retro 1 High OG Lost And Found Chicago 2022 Size 9.5 Red.,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,B,unknown,80000,KRW,listing_price,https://www.ebay.com/itm/327024714157?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item4c243121ad:g:-1kAAeSwevBpgkCU,Pre-owned Nike Air Jordan 1 Lost and Found Chicago Retro High DX5485-612 Size 10,Pre-owned - Good,20.0,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition B. Box included unknown. eBay reference listing price 80000 KRW. Original eBay price 59.0 USD. Collected on 2026-05-19. Item title: Pre-owned Nike Air Jordan 1 Lost and Found Chicago Retro High DX5485-612 Size 10.,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,A,false,289000,KRW,listing_price,https://www.ebay.com/itm/287251199924?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item42e18177b4:g:VVMAAeSwcalpz-lv,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 8 - DZ5485-612",New without box,14.99,2026-05-19,"Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition A. Box included false. eBay reference listing price 289000 KRW. Original eBay price 212.49 USD. Collected on 2026-05-19. Item title: Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 8 - DZ5485-612.",size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,B,unknown,245000,KRW,listing_price,https://www.ebay.com/itm/327158678475?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item4c2c2d43cb:g:uogAAeSwkXBqBivg,Nike Air Jordan 1 Retro High OG Lost and Found Chicago 2022 - Size 9.5,Pre-owned - Fair,0.0,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition B. Box included unknown. eBay reference listing price 245000 KRW. Original eBay price 180.0 USD. Collected on 2026-05-19. Item title: Nike Air Jordan 1 Retro High OG Lost and Found Chicago 2022 - Size 9.5.,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,DS,true,489000,KRW,listing_price,https://www.ebay.com/itm/127596866636?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item1db55dac4c:g:SH4AAeSwPjppVl1u,Nike Air Jordan 1  RetroHigh OG Chicago ‘Lost And Found’ New UK9.5/US10.5/EU44.5,New with box,18.66,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition DS. Box included true. eBay reference listing price 489000 KRW. Original eBay price 359.8 USD. Collected on 2026-05-19. Item title: Nike Air Jordan 1  RetroHigh OG Chicago ‘Lost And Found’ New UK9.5/US10.5/EU44.5.,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,DS,true,209000,KRW,listing_price,https://www.ebay.com/itm/800017733260?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=itemba44c5d68c:g:n9QAAeSwCglokhYs,Jordan 1 Retro High OG Chicago Lost and Found Men's DZ5485-612&GS FD1437-612 New,New with box,0.0,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition DS. Box included true. eBay reference listing price 209000 KRW. Original eBay price 153.9 USD. Collected on 2026-05-19. Item title: Jordan 1 Retro High OG Chicago Lost and Found Men's DZ5485-612&GS FD1437-612 New.,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,DS,true,447000,KRW,listing_price,https://www.ebay.com/itm/168254028688?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item272cb8bb90:g:POEAAeSwuHBpwBP5,DS Men's Air Jordan 1 Retro High OG Chicago Lost and Found Sz 9.5 (DZ5485-612),New with box,0.0,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition DS. Box included true. eBay reference listing price 447000 KRW. Original eBay price 329.0 USD. Collected on 2026-05-19. Item title: DS Men's Air Jordan 1 Retro High OG Chicago Lost and Found Sz 9.5 (DZ5485-612).,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,DS,true,163000,KRW,listing_price,https://www.ebay.com/itm/257138539478?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item3bdea6bbd6:g:gDQAAeSwpAFo1a58&amdata=enc%3AAQALAAABAACCtXRWQnOEpyOqnQQ8KGa8f9%2BB%2BfGeONscptrJQ91lg2AYnPlSwIv8Lns7C%2BRYazEgVf%2BtxWW5ewaZBNAr%2BzU909zMQ%2F8Agfgv%2BnPxZIVrNYTqkDDfzGOD%2FY%2F%2B368biH64fEVTT2YCvQ6hBfxfGXR3qIJ7WYX%2FpHSB81pvA0u%2BYE%2F%2BAAzMg5w5%2F0yLE5BEOgf96ke6Rpo9wmOOB4VnzWQFiMwlnHtYPjO6FdwmKaVsAMa44N1vjc%2FLDRc939S2EGgsV4CRYdJmOB2d%2BPgZR4VhNp3aJqL1wu77tWpI1rU20g41k4xs%2Faz8HF%2BgE5KRIcmcp%2FQeWjHlzUZzjTYSYBQ%3D,Size 9C - Nike Air Jordan 1 Retro High Lost And Found FD1413-612 NEW! Ship Fast!,New with box,0.0,2026-05-19,Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition DS. Box included true. eBay reference listing price 163000 KRW. Original eBay price 120.0 USD. Collected on 2026-05-19. Item title: Size 9C - Nike Air Jordan 1 Retro High Lost And Found FD1413-612 NEW! Ship Fast!.,size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,DS,true,381000,KRW,listing_price,https://www.ebay.com/itm/277886777107?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item40b357b713:g:fhgAAeSw77xp26rG,"Air Jordan 1 Retro High ""LOST AND FOUND"" 2022 - Size 8.5 - dz5485 612 (15203-18)",New with box,14.0,2026-05-19,"Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition DS. Box included true. eBay reference listing price 381000 KRW. Original eBay price 280.0 USD. Collected on 2026-05-19. Item title: Air Jordan 1 Retro High ""LOST AND FOUND"" 2022 - Size 8.5 - dz5485 612 (15203-18).",size_mismatch_or_kids
1,EBAY,Nike,Air Jordan 1 Retro High OG,Chicago Lost and Found,270,9,A,unknown,343000,KRW,listing_price,https://www.ebay.com/itm/287220900493?_skw=Nike+Air+Jordan+1+Lost+and+Found+US+9&hash=item42dfb3228d:g:9kgAAeSwCiJpVXe8,"Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 10 - dz5485 612 (405-21)",Pre-owned - Excellent,14.0,2026-05-19,"Nike Air Jordan 1 Retro High OG Chicago Lost and Found size 270 KR / US 9. Condition A. Box included unknown. eBay reference listing price 343000 KRW. Original eBay price 252.0 USD. Collected on 2026-05-19. Item title: Air Jordan 1 Retro High OG ""LOST AND FOUND"" 2022 - Size 10 - dz5485 612 (405-21).",size_mismatch_or_kids
